Gene_ID,Gene_name
1011_s_at,YWHAE
1012_at,KAT2B
1013_at,SMAD5
1018_at,WNT10B
1019_g_at,WNT10B
1025_g_at,CYP1A1
1029_s_at,TXK
1031_at,SRPK1
1033_g_at,CXCR2
1034_at,TIMP3
1035_g_at,TIMP3
1036_at,IL15
103_at,THBS4
1042_at,RARRES1
1045_s_at,RELA
1046_at,IFIT5
1050_at,MLANA
1052_s_at,CEBPD
1053_at,RFC2
1055_g_at,RFC4
1056_s_at,IL16
1057_at,CRABP2
1059_at,NTRK3
1066_at,IL12RB1
1069_at,PTGS2
1074_at,RAB1A
1079_g_at,PRLR
1082_at,PLCG1
1088_at,BDNF
1089_i_at,M64936
108_g_at,RAB40AL
1092_at,EDN2
1093_at,PPP2R1B
1098_at,THPO
1099_s_at,GSTT2B
109_at,RABEPK
1102_s_at,NR3C1
1109_s_at,PDGFA
1111_at,NCAM1
1123_at,GHRHR
1124_at,KMT2A
112_g_at,TAF1
1132_s_at,RARG
1133_at,EN2
1135_at,GRK5
1136_at,DTYMK
1137_at,SLC20A2
1142_at,TIGR: HG3432-HT3618
1145_g_at,FGFR2
1146_at,CD4
1148_s_at,NRG1
1152_i_at,CGB2
1157_s_at,IFNAR1
1159_at,IL7
1168_at,PCDHB17
116_at,PRKAR2A
1174_at,MOS
1185_at,IL3RA
1186_at,GDF10
1189_at,CDK8
118_at,ITPKA
1190_at,PTPRO
1192_at,PSMD12
1193_at,UBE3A
1195_s_at,ITGB1BP1
1196_at,RCC1
1197_at,ACTG2
1200_at,GLI2
1202_g_at,RAB33A
1203_at,INHBA
1205_at,D26528
1206_at,CDK5
1207_at,CDK6
1209_at,TRAF6
120_at,ITGA1
1211_s_at,CRADD
1212_at,GSTZ1
1221_at,RAB5B
1222_at,CDK17
1227_g_at,ADAM17
1229_at,MTMR11
1238_at,MAPK9
1242_at,ERF
1245_i_at,PAK2
1247_g_at,PTPRS
1249_at,GAB1
1250_at,PRKDC
1259_at,ZNF23
126_s_at,SSX2B
1272_at,EIF2S3
1273_r_at,CDC34
1278_at,AXL
1280_i_at,MKNK2
1281_f_at,MKNK2
1290_g_at,GSTM5
1304_at,AJ001487
1305_s_at,CYP4F2
1307_at,XPA
1308_g_at,XPA
1313_at,PSMB7
1320_at,PTPN21
1324_at,RAD9A
1328_at,TRAF5
1343_s_at,SERPINB3
1344_at,PAX3
1348_s_at,PCCA
1349_at,S81294
134_at,ABI2
1355_g_at,NTRK2
1361_at,TERF1
1362_s_at,RXRB
1363_at,FGFR2
1369_s_at,CXCL8
1371_s_at,CYP2B7P
1381_at,RARB
1388_g_at,VDR
1390_s_at,GHRH
1397_at,MAP3K11
1407_g_at,NR2C1
1413_at,D26561
1419_g_at,NOS2
1427_g_at,SLA
1431_at,CYP2E1
1438_at,EPHB3
143_s_at,TAF5
1451_s_at,POSTN
1452_at,LMO4
1453_at,SMAD2
1454_at,SMAD3
145_s_at,TBX5
1464_at,MIR483
1465_s_at,MYBL1
146_at,PI4KB
1470_at,POLD2
1474_s_at,MYB
1479_g_at,ITK
147_at,TSG101
1481_at,MMP12
1482_g_at,MMP12
1483_at,CDH4
1489_s_at,MYCL
1492_f_at,CYP2A7
1493_r_at,CYP2A6
1503_at,BRCA2
1507_s_at,EDNRA
150_at,MAGI1
1513_at,KLK3
1516_g_at,FEN1
1518_at,ETS1
1520_s_at,IL1B
1521_at,NME1
1525_s_at,FGF8
1532_g_at,N4BP2L2
1537_at,EGFR
1538_s_at,IL2
1540_f_at,IFNA5
1541_f_at,IFNA6
1548_s_at,IL10
155_s_at,SUMO1
1560_g_at,PAK2
1568_s_at,IFNAR2
156_s_at,GPR19
1571_f_at,RB1
1574_s_at,IL4
1581_s_at,TOP2B
1584_at,CDC25C
1586_at,IGFBP3
1589_s_at,IFNAR2
158_at,DNAJB4
1590_s_at,HRAS
1593_at,FGF2
1595_at,TEK
1597_at,GAS6
159_at,VEGFC
160026_at,PRKX
160027_s_at,IGF2R
160030_at,GHR
160031_at,CDH3
160033_s_at,XRCC1
160035_at,CEACAM7
160036_at,ESRRB
160038_s_at,INS
160039_at,MAPK4
160043_at,MYBL1
1601_s_at,IGFBP5
1604_at,EPHA5
1605_g_at,EPHA5
1607_at,CDKN2B
1609_g_at,MET
1616_at,FGF9
1617_at,TRIM25
161_at,RAB9BP1
1621_at,CDC5L
1624_at,RAP1GDS1
1628_at,TIGR: HG3175-HT3352
1635_at,ABL1
1639_s_at,E2F5
1645_at,KISS1
1654_at,BRAF
1656_s_at,ABL1
1660_at,UBE2N
1666_at,IFNA1
1669_at,WNT5A
1670_at,TFDP1
1677_at,IGFBP5
1678_g_at,IGFBP5
1679_at,GABRA2
167_at,EIF5
1683_at,WT1-AS
1686_g_at,SPHAR
1688_s_at,MNAT1
1689_at,DCHS1
168_at,ADK
1693_s_at,TIMP1
1694_s_at,HNRNPU
1696_at,POLB
1697_s_at,PTPRJ
1698_g_at,MAP2K5
1699_at,MAP2K5
1703_g_at,E2F4
1710_s_at,TOP1
1712_s_at,MAP2K4
1713_s_at,CDKN2A
1715_at,TNFSF10
1719_at,MSH3
1720_at,MAD2L1
1721_g_at,MAD2L1
1730_s_at,FGF4
1738_at,CDC25A
1745_at,RET
1754_at,DAXX
1757_i_at,CYP3A7
1758_r_at,CYP3A7
1759_f_at,CYP3A7
1761_at,PDGFRL
1763_at,PMS2P5
1765_at,CASP10
1771_s_at,PDGFRB
1772_s_at,FNTA
1773_at,FNTB
1774_at,MXD1
1777_at,RIN1
1782_s_at,STMN1
1783_at,RIN2
1785_at,KDM5A
1788_s_at,DUSP4
1798_at,SLC39A6
1801_at,BARD1
1803_at,CDK1
1805_g_at,KLK3
1806_at,MCF2
1809_at,CDC7
1810_s_at,PRKCD
1811_at,PTPRH
1812_s_at,MET
1815_g_at,TGFBR2
1819_at,RAP2A
1820_g_at,RAP2B
1821_at,RAP2B
1824_s_at,PCNA
1828_s_at,FGF2
1831_at,BMP5
1843_at,TRIM27
1845_at,MAP2K4
1846_at,LGALS8
184_at,APLNR
1850_at,MLH1
1852_at,TNF
1860_at,TP53BP2
1862_at,ATM
1866_g_at,SKIL
1868_g_at,CFLAR
186_at,PRKAA2
1874_at,RAD23B
1875_f_at,PMS2P3
1876_at,RALA
1880_at,MDM2
1881_at,MECOM
1895_at,JUN
1897_at,TGFBR3
189_s_at,PLAUR
1907_at,RBL1
190_at,NR4A3
1911_s_at,GADD45A
1912_s_at,APC
1918_at,SKI
1919_at,VAV1
1921_at,RASGRF1
1928_s_at,SMAD2
1930_at,ABCC3
1931_at,ABCC4
1932_at,ABCC5
1934_s_at,VEGFC
1942_s_at,CDK4
1945_at,CCNB1
1948_f_at,NOS2
1951_at,ANGPT2
1959_at,AZIN1
1961_f_at,NOS3
1962_at,ARG1
1965_s_at,NOS1
1966_i_at,U18334
1972_s_at,MAP2
1974_s_at,TP53
1976_s_at,FES
1977_s_at,ETS1
1986_at,RBL2
1987_at,PDGFRA
1988_at,PDGFRA
1992_at,FHIT
1995_at,XPA
199_s_at,PKN2
2003_s_at,MSH6
2007_g_at,JAK3
2009_at,PTK2B
2012_s_at,PRKDC
2014_s_at,MAP2K6
2027_at,S100A2
2029_at,ARHGAP5
202_at,HSF2
203_at,GATA2
2042_s_at,MYB
2043_s_at,BCR
2051_at,MGMT
2053_at,CDH2
2057_g_at,FGFR1
205_g_at,HOXA4
2060_at,BCL2
2066_at,BAX
2069_s_at,CTNNA1
206_at,CTSE
2072_at,CDH12
2080_s_at,PGBD3
2081_s_at,PRKCQ
2082_s_at,CDH1
2083_at,CCKBR
2087_s_at,CDH11
2089_s_at,ERBB3
2091_at,WNT4
211_at,DR1
215_g_at,MSX1
230_s_at,FSHB
234_s_at,PTN
246_at,KLK1
249_at,NFATC4
257_at,ITGAV
261_s_at,APOB
262_at,AMD1
268_at,PECAM1
270_at,CYP3A4
272_at,GRP
273_g_at,GRP
278_at,NPR2
281_s_at,PPP3CA
282_at,KIF20B
284_at,HIST1H2AG
287_at,ATF3
289_at,STAT3
297_g_at,TUBB2A
298_at,MUC5AC
300_f_at,TIGR: HG4518-HT4921
302_at,TIGR: HG896-HT896
304_at,SOS2
31309_r_at,U50277
31311_at,X61070
31313_at,MGAT5
31314_at,BMP3
31332_at,AF034207
31343_at,IL1RN
31344_at,IGLV6-57
31345_at,TMPRSS11D
31350_at,OR10H3
31351_at,X63966
31355_at,ASCL2
31357_at,W26214
31358_at,W26228
31363_at,W27607
31365_f_at,NFAT5
31369_at,W28184
31371_at,W28197
31372_at,GALNT18
31374_at,W28268
31375_at,W28546
31376_at,W28918
31377_r_at,W26469
31381_at,PGLYRP1
31386_at,IGKV1OR2-118
31389_at,SQSTM1
31391_at,HAP1
31393_r_at,UTF1
31397_at,31397_at
31401_r_at,WSCD2
31403_at,SLC18A1
31404_at,GRK1
31411_at,BPY2
31414_at,TTTY2B
31415_at,XKRY2
31422_at,KRT37
31423_at,31423_at
31427_at,U43604
31437_r_at,ESR2
31439_f_at,RHCE
31446_s_at,SMR3A
31447_at,U63542
31448_s_at,LILRA2
31451_at,ARHGAP1
31454_f_at,AF034209
31460_f_at,IGLV1-40
31465_g_at,DCT
31467_at,HLA-DOA
31469_s_at,KIAA0226
31470_at,PFKFB2
31472_s_at,CD44
31474_r_at,TNKS
31475_at,TNKS
31482_at,CELP
31484_at,X72882
31487_at,FEZ2
31488_s_at,PGK1
31494_at,D25272
31496_g_at,XCL2
31498_f_at,GAGE12D
31499_s_at,FCGR3B
31501_at,W27645
31512_at,LOC652493
31513_at,LBX1
31516_f_at,BTF3P11
31518_i_at,BTF3P13
31520_at,CBX2
31521_f_at,HIST1H4J
31523_f_at,HIST1H2BE
31528_f_at,HIST1H2BM
31529_at,KRT83
31530_at,ACACB
31541_at,SERPINB13
31542_at,FLG
31543_at,PROL1
